,Team,coach_age,coach_name,season,playoff_games,playoff_wins,playoff_loses,playoff_W/L%,season_games,season_wins,season_loses,season_W/L%,season_position
20,,,Jim Boylen,Career,,,,,50,16.0,34.0,0.32,
0,NYK,32.0,Carl Braun,1959-60,,,,,48,19.0,29.0,0.396,4.0
1,NYK,33.0,Carl Braun,1960-61,,,,,79,21.0,58.0,0.266,4.0
2,,,Carl Braun,Career,,,,,127,40.0,87.0,0.315,
7,CHH,40.0,Allan Bristow,1991-92,,,,,82,31.0,51.0,0.37799999999999995,7.0
8,CHH,41.0,Allan Bristow,1992-93,9.0,4.0,5.0,0.444,82,44.0,38.0,0.537,3.0
9,CHH,42.0,Allan Bristow,1993-94,,,,,82,41.0,41.0,0.5,5.0
10,CHH,43.0,Allan Bristow,1994-95,4.0,1.0,3.0,0.25,82,50.0,32.0,0.61,2.0
11,CHH,44.0,Allan Bristow,1995-96,,,,,82,41.0,41.0,0.5,6.0
12,,,Allan Bristow,Career,13.0,5.0,8.0,0.385,410,207.0,203.0,0.505,
6,OKC,43.0,Scott Brooks,2008-09,,,,,69,22.0,47.0,0.319,5.0
7,OKC,44.0,Scott Brooks,2009-10,6.0,2.0,4.0,0.33299999999999996,82,50.0,32.0,0.61,4.0
8,OKC,45.0,Scott Brooks,2010-11,17.0,9.0,8.0,0.529,82,55.0,27.0,0.6709999999999999,1.0
9,OKC,46.0,Scott Brooks,2011-12,20.0,13.0,7.0,0.65,66,47.0,19.0,0.7120000000000001,1.0
10,OKC,47.0,Scott Brooks,2012-13,11.0,5.0,6.0,0.455,82,60.0,22.0,0.732,1.0
11,OKC,48.0,Scott Brooks,2013-14,19.0,10.0,9.0,0.526,82,59.0,23.0,0.72,1.0
12,OKC,49.0,Scott Brooks,2014-15,,,,,82,45.0,37.0,0.5489999999999999,2.0
13,WAS,51.0,Scott Brooks,2016-17,13.0,7.0,6.0,0.5379999999999999,82,49.0,33.0,0.598,1.0
14,WAS,52.0,Scott Brooks,2017-18,6.0,2.0,4.0,0.33299999999999996,82,43.0,39.0,0.524,2.0
15,WAS,53.0,Scott Brooks,2018-19,,,,,74,30.0,44.0,0.405,4.0
