,Team,coach_age,coach_name,season,playoff_games,playoff_wins,playoff_loses,playoff_W/L%,season_games,season_wins,season_loses,season_W/L%,season_position
173,CLE,55.0,David Blatt,2015,20.0,14.0,6.0,0.7,82,53.0,29.0,0.6459999999999999,1.0
174,CLE,56.0,David Blatt,2016,,,,,41,30.0,11.0,0.732,1.0
176,ORL,,James Borrego,2015,,,,,30,10.0,20.0,0.333,5.0
177,CHO,,James Borrego,2019,,,,,73,34.0,39.0,0.466,3.0
179,NYK,28.0,Vince Boryla,1956,,,,,21,9.0,12.0,0.429,4.0
180,NYK,29.0,Vince Boryla,1957,,,,,72,36.0,36.0,0.5,4.0
181,NYK,30.0,Vince Boryla,1958,,,,,72,35.0,37.0,0.486,4.0
183,NOH,48.0,Jeff Bower,2010,,,,,73,34.0,39.0,0.466,5.0
185,CHI,,Jim Boylan,2008,,,,,56,24.0,32.0,0.429,4.0
186,MIL,,Jim Boylan,2013,4.0,0.0,4.0,0.0,50,22.0,28.0,0.44,3.0
188,CHI,,Jim Boylen,2019,,,,,50,16.0,34.0,0.32,4.0
190,NYK,32.0,Carl Braun,1960,,,,,48,19.0,29.0,0.396,4.0
191,NYK,33.0,Carl Braun,1961,,,,,79,21.0,58.0,0.266,4.0
193,CHH,40.0,Allan Bristow,1992,,,,,82,31.0,51.0,0.378,7.0
194,CHH,41.0,Allan Bristow,1993,9.0,4.0,5.0,0.444,82,44.0,38.0,0.537,3.0
195,CHH,42.0,Allan Bristow,1994,,,,,82,41.0,41.0,0.5,5.0
196,CHH,43.0,Allan Bristow,1995,4.0,1.0,3.0,0.25,82,50.0,32.0,0.61,2.0
197,CHH,44.0,Allan Bristow,1996,,,,,82,41.0,41.0,0.5,6.0
199,OKC,43.0,Scott Brooks,2009,,,,,69,22.0,47.0,0.319,5.0
200,OKC,44.0,Scott Brooks,2010,6.0,2.0,4.0,0.333,82,50.0,32.0,0.61,4.0
201,OKC,45.0,Scott Brooks,2011,17.0,9.0,8.0,0.529,82,55.0,27.0,0.6709999999999999,1.0
202,OKC,46.0,Scott Brooks,2012,20.0,13.0,7.0,0.65,66,47.0,19.0,0.7120000000000001,1.0
203,OKC,47.0,Scott Brooks,2013,11.0,5.0,6.0,0.455,82,60.0,22.0,0.732,1.0
204,OKC,48.0,Scott Brooks,2014,19.0,10.0,9.0,0.526,82,59.0,23.0,0.72,1.0
205,OKC,49.0,Scott Brooks,2015,,,,,82,45.0,37.0,0.5489999999999999,2.0
206,WAS,51.0,Scott Brooks,2017,13.0,7.0,6.0,0.5379999999999999,82,49.0,33.0,0.598,1.0
207,WAS,52.0,Scott Brooks,2018,6.0,2.0,4.0,0.333,82,43.0,39.0,0.524,2.0
208,WAS,53.0,Scott Brooks,2019,,,,,74,30.0,44.0,0.405,4.0
210,WAS,56.0,Jim Brovelli,1999,,,,,18,5.0,13.0,0.278,6.0
212,PHI,52.0,Brett Brown,2014,,,,,82,19.0,63.0,0.232,5.0
213,PHI,53.0,Brett Brown,2015,,,,,82,18.0,64.0,0.22,4.0
214,PHI,54.0,Brett Brown,2016,,,,,82,10.0,72.0,0.122,5.0
215,PHI,55.0,Brett Brown,2017,,,,,82,28.0,54.0,0.341,4.0
216,PHI,56.0,Brett Brown,2018,10.0,5.0,5.0,0.5,82,52.0,30.0,0.634,3.0
217,PHI,57.0,Brett Brown,2019,,,,,74,47.0,27.0,0.635,2.0
219,DET,39.0,Herb Brown,1976,9.0,4.0,5.0,0.444,40,19.0,21.0,0.475,2.0
220,DET,40.0,Herb Brown,1977,3.0,1.0,2.0,0.333,82,44.0,38.0,0.537,2.0
221,DET,41.0,Herb Brown,1978,,,,,24,9.0,15.0,0.375,4.0
223,KEN,41.0,Hubie Brown,1975,15.0,12.0,3.0,0.8,84,58.0,26.0,0.69,1.0
224,KEN,42.0,Hubie Brown,1976,10.0,5.0,5.0,0.5,84,46.0,38.0,0.5479999999999999,4.0
225,ATL,43.0,Hubie Brown,1977,,,,,82,31.0,51.0,0.378,6.0
226,ATL,44.0,Hubie Brown,1978,2.0,0.0,2.0,0.0,82,41.0,41.0,0.5,4.0
227,ATL,45.0,Hubie Brown,1979,9.0,5.0,4.0,0.556,82,46.0,36.0,0.561,3.0
228,ATL,46.0,Hubie Brown,1980,5.0,1.0,4.0,0.2,82,50.0,32.0,0.61,1.0
229,ATL,47.0,Hubie Brown,1981,,,,,79,31.0,48.0,0.392,4.0
230,NYK,49.0,Hubie Brown,1983,6.0,2.0,4.0,0.333,82,44.0,38.0,0.537,4.0
231,NYK,50.0,Hubie Brown,1984,12.0,6.0,6.0,0.5,82,47.0,35.0,0.573,3.0
232,NYK,51.0,Hubie Brown,1985,,,,,82,24.0,58.0,0.293,5.0
233,NYK,52.0,Hubie Brown,1986,,,,,82,23.0,59.0,0.28,5.0
234,NYK,53.0,Hubie Brown,1987,,,,,16,4.0,12.0,0.25,5.0
235,MEM,69.0,Hubie Brown,2003,,,,,74,28.0,46.0,0.378,6.0
236,MEM,70.0,Hubie Brown,2004,4.0,0.0,4.0,0.0,82,50.0,32.0,0.61,4.0
237,MEM,71.0,Hubie Brown,2005,,,,,12,5.0,7.0,0.417,4.0
239,CAR,32.0,Larry Brown,1973,12.0,7.0,5.0,0.583,84,57.0,27.0,0.679,1.0
240,CAR,33.0,Larry Brown,1974,4.0,0.0,4.0,0.0,84,47.0,37.0,0.56,3.0
241,DNA,34.0,Larry Brown,1975,13.0,7.0,6.0,0.5379999999999999,84,65.0,19.0,0.774,1.0
242,DNA,35.0,Larry Brown,1976,13.0,6.0,7.0,0.462,84,60.0,24.0,0.7140000000000001,1.0
243,DEN,36.0,Larry Brown,1977,6.0,2.0,4.0,0.333,82,50.0,32.0,0.61,1.0
244,DEN,37.0,Larry Brown,1978,13.0,6.0,7.0,0.462,82,48.0,34.0,0.585,1.0
245,DEN,38.0,Larry Brown,1979,,,,,53,28.0,25.0,0.528,2.0
246,NJN,41.0,Larry Brown,1982,2.0,0.0,2.0,0.0,82,44.0,38.0,0.537,3.0
247,NJN,42.0,Larry Brown,1983,,,,,76,47.0,29.0,0.618,3.0
248,SAS,48.0,Larry Brown,1989,,,,,82,21.0,61.0,0.256,5.0
249,SAS,49.0,Larry Brown,1990,10.0,6.0,4.0,0.6,82,56.0,26.0,0.6829999999999999,1.0
250,SAS,50.0,Larry Brown,1991,4.0,1.0,3.0,0.25,82,55.0,27.0,0.6709999999999999,1.0
251,SAS,51.0,Larry Brown,1992,,,,,38,21.0,17.0,0.5529999999999999,2.0
252,LAC,51.0,Larry Brown,1992,5.0,2.0,3.0,0.4,35,23.0,12.0,0.657,5.0
253,LAC,52.0,Larry Brown,1993,5.0,2.0,3.0,0.4,82,41.0,41.0,0.5,4.0
254,IND,53.0,Larry Brown,1994,16.0,10.0,6.0,0.625,82,47.0,35.0,0.573,3.0
255,IND,54.0,Larry Brown,1995,17.0,10.0,7.0,0.588,82,52.0,30.0,0.634,1.0
256,IND,55.0,Larry Brown,1996,5.0,2.0,3.0,0.4,82,52.0,30.0,0.634,2.0
257,IND,56.0,Larry Brown,1997,,,,,82,39.0,43.0,0.476,6.0
258,PHI,57.0,Larry Brown,1998,,,,,82,31.0,51.0,0.378,7.0
259,PHI,58.0,Larry Brown,1999,8.0,3.0,5.0,0.375,50,28.0,22.0,0.56,3.0
260,PHI,59.0,Larry Brown,1900,10.0,5.0,5.0,0.5,82,49.0,33.0,0.598,3.0
261,PHI,60.0,Larry Brown,2001,23.0,12.0,11.0,0.522,82,56.0,26.0,0.6829999999999999,1.0
262,PHI,61.0,Larry Brown,2002,5.0,2.0,3.0,0.4,82,43.0,39.0,0.524,4.0
263,PHI,62.0,Larry Brown,2003,12.0,6.0,6.0,0.5,82,48.0,34.0,0.585,2.0
